Date,Price,Open,High,Low,Vol.,Change %,
12/27/2023,22.45,22.15,22.6,22.15,15.15M,1,58%
12/26/2023,22.1,21.95,22.25,21.85,7.15M,0,68%
12/25/2023,21.95,21.65,22.4,21.65,10.85M,1,62%
12/22/2023,21.6,21.75,21.9,21.4,5.30M,0,69%
12/21/2023,21.75,21.3,21.9,21.25,9.07M,1,16%
12/20/2023,21.5,21.65,21.65,21.3,4.47M,0,0%
12/19/2023,21.5,20.85,21.5,20.8,8.09M,3,61%
12/18/2023,20.75,20.85,21.15,20.75,5.98M,0,48%
12/15/2023,20.85,21,21.3,20.65,9.14M,0,71%
12/14/2023,21,21.3,21.35,20.9,10.13M,0,47%
12/13/2023,21.1,21.8,22.05,21,12.85M,-2,99%
12/12/2023,21.75,21.8,22.1,21.7,6.33M,0,23%
12/11/2023,21.7,22.1,22.2,21.6,8.58M,-1,81%
12/8/2023,22.1,22.4,23.15,22,17.01M,-1,56%
12/7/2023,22.45,22.75,22.8,21.5,22.30M,-1,10%
12/6/2023,22.7,22.4,22.8,22.1,10.34M,1,79%
12/5/2023,22.3,22.25,22.6,22.15,12.46M,0,22%
12/4/2023,22.25,22.2,22.8,22,20.80M,2,30%
12/1/2023,21.75,21.6,21.8,21.2,9.23M,1,40%
11/30/2023,21.45,21.75,22,21.4,10.59M,-1,38%
11/29/2023,21.75,21.3,21.8,21.15,11.68M,2,11%
11/28/2023,21.3,20.7,21.3,20.15,12.19M,3,15%
11/27/2023,20.65,21,21.15,20.55,7.22M,-1,43%
11/24/2023,20.95,20.8,20.95,19.9,17.24M,2,20%
11/23/2023,20.5,22,22.1,20.5,19.11M,-6,82%
11/22/2023,22,21.85,22.1,21.65,12.05M,0,46%
11/21/2023,21.9,22,22.65,21.8,15.00M,0,92%
11/20/2023,21.7,20.95,21.75,20.9,10.99M,1,17%
11/17/2023,21.45,21.7,22,21,19.11M,0,69%
11/16/2023,21.6,21.4,21.6,21.05,8.56M,0,47%
11/15/2023,21.5,22.4,22.4,21.45,16.29M,0,92%
11/14/2023,21.7,21.8,21.9,21.05,13.58M,0,93%
11/13/2023,21.5,20.65,21.9,20.65,20.39M,4,12%
11/10/2023,20.65,20.55,21.45,20.5,15.61M,0,72%
11/9/2023,20.8,21.3,21.5,20.8,13.84M,-1,42%
11/8/2023,21.1,19.65,21.1,19.6,17.84M,6,84%
11/7/2023,19.75,19.8,20.1,19.6,11.77M,-1,25%
11/6/2023,20,19.55,20,19.35,13.69M,2,83%
11/3/2023,19.45,19,19.5,18.65,14.97M,2,91%
11/2/2023,18.9,18.1,18.9,17.85,14.50M,6,78%
11/1/2023,17.7,16.95,17.7,16.85,6.06M,4,12%
10/31/2023,17,17.6,17.65,16.8,7.86M,-1,16%
10/30/2023,17.2,17.6,18.05,17.2,6.75M,-2,55%
10/27/2023,17.65,16.7,17.65,16.25,9.35M,6,33%
10/26/2023,16.6,17.35,17.4,16.6,13.91M,-6,74%
10/25/2023,17.8,17.85,18.3,17.75,6.12M,0,56%
10/24/2023,17.7,17.75,17.9,17.25,4.60M,0,0%
10/23/2023,17.7,17.8,18.1,17.35,7.80M,0,56%
10/20/2023,17.8,17,17.8,16.95,7.57M,4,71%
10/19/2023,17,17,17.3,16.1,10.21M,0,0%
10/18/2023,17,18.2,18.25,16.75,19.48M,-5,56%
10/17/2023,18,18.9,19.3,18,6.70M,-4,26%
10/16/2023,18.8,19.65,19.75,18.8,7.20M,-4,33%
10/13/2023,19.65,19.35,19.7,19.05,5.77M,0,25%
10/12/2023,19.7,19.9,20.25,19.4,6.72M,0,0%
10/11/2023,19.7,19.35,19.7,19.15,6.70M,2,7%
10/10/2023,19.3,19.6,19.8,19.3,6.95M,0,26%
10/9/2023,19.35,18.7,19.5,18.7,7.87M,3,20%
10/6/2023,18.75,18.35,19,17.9,7.73M,2,18%
10/5/2023,18.35,19.2,19.3,18.35,7.02M,-3,93%
10/4/2023,19.1,18,19.6,18,12.35M,2,14%
10/3/2023,18.7,19.6,19.7,18.7,18.60M,-6,97%
10/2/2023,20.1,20.15,20.5,19.9,6.92M,0,50%
9/29/2023,20,20.5,20.55,19.85,8.45M,-1,48%
9/28/2023,20.3,19.7,20.45,19.4,11.07M,1,50%
9/27/2023,20,19.1,20,18.7,11.84M,5,26%
9/26/2023,19,19.9,20.2,19,20.32M,-5,24%
9/25/2023,20.05,21.2,21.6,20.05,17.10M,-6,96%
9/22/2023,21.55,22.45,22.6,21.55,34.49M,-6,91%
9/21/2023,23.15,23,23.9,22.9,17.85M,0,0%
9/20/2023,23.15,23,23.25,22.85,8.28M,0,65%
9/19/2023,23,22,23,21.4,18.39M,5,50%
9/18/2023,21.8,21.4,22.1,21.4,12.48M,1,87%
9/15/2023,21.4,21.4,22,21,10.74M,0,47%
9/14/2023,21.3,22,22,21,13.60M,-3,18%
9/13/2023,22,22,22.85,21.6,16.80M,0,69%
9/12/2023,21.85,21.2,21.85,20.9,15.98M,2,58%
9/11/2023,21.3,22.3,22.3,21.3,15.96M,-3,18%
9/8/2023,22,21.5,22.3,21.45,17.24M,2,33%
9/7/2023,21.5,21.55,21.8,21.35,14.74M,0,94%
9/6/2023,21.3,19.95,21.3,19.6,24.08M,6,77%
9/5/2023,19.95,20.15,20.5,19.75,9.75M,0,25%
8/31/2023,20,19.95,20.2,19.7,11.67M,1,52%
8/30/2023,19.7,19.15,19.8,19.05,10.67M,3,14%
8/29/2023,19.1,19.3,19.5,18.9,7.68M,0,52%
8/28/2023,19.2,18.65,19.3,18.65,13.01M,3,23%
8/25/2023,18.6,18.8,18.9,18.55,10.09M,0,80%
8/24/2023,18.75,18.3,18.75,18.05,8.28M,2,46%
8/23/2023,18.3,18.65,18.65,18.3,5.14M,0,54%
8/22/2023,18.4,18.8,18.8,17.5,10.24M,0,27%
8/21/2023,18.45,18.6,18.85,17.95,11.83M,0,81%
8/18/2023,18.6,19.85,19.9,18.6,27.42M,-7,0%
8/17/2023,20,20.5,20.75,20,15.61M,-1,96%
8/16/2023,20.4,20.6,20.6,20.2,7.04M,0,97%
8/15/2023,20.6,20.2,20.7,19.9,15.15M,2,49%
8/14/2023,20.1,19.95,20.35,19.95,11.48M,1,26%
8/11/2023,19.85,18.85,19.9,18.65,25.03M,5,59%
8/10/2023,18.8,19,19.2,18.75,7.96M,-1,57%
8/9/2023,19.1,18.6,19.2,18.45,18.01M,2,14%
8/8/2023,18.7,19.1,19.3,18.65,13.51M,-1,58%
8/7/2023,19,19.15,19.2,18.8,11.91M,0,53%
8/4/2023,18.9,18.75,18.9,18.5,9.83M,1,7%
8/3/2023,18.7,18.8,18.8,18.3,15.59M,0,53%
8/2/2023,18.8,18.4,18.9,18.35,11.52M,1,8%
8/1/2023,18.6,19.2,19.2,18.6,15.38M,-3,38%
7/31/2023,19.25,19.1,19.25,18.5,23.75M,0,26%
7/28/2023,19.3,18.75,19.3,18.6,21.29M,2,93%
7/27/2023,18.75,18.7,18.8,18.25,16.73M,0,27%
7/26/2023,18.7,18.4,18.85,18.35,14.43M,2,19%
7/25/2023,18.3,18.3,18.7,18.15,15.19M,0,0%
7/24/2023,18.3,18.35,18.55,18.1,12.68M,0,55%
7/21/2023,18.2,17.65,18.3,17.55,19.96M,3,70%
7/20/2023,17.55,17.25,17.6,17.25,11.02M,1,15%
7/19/2023,17.35,17.3,17.5,17.2,13.94M,0,58%
7/18/2023,17.25,17.6,17.6,17.2,15.20M,-2,27%
7/17/2023,17.65,17.9,17.95,17.5,8.73M,0,56%
7/14/2023,17.75,17.55,18,17.5,17.41M,1,43%
7/13/2023,17.5,17.6,17.8,17.45,9.87M,0,29%
7/12/2023,17.45,17.5,17.5,17.2,9.27M,0,0%
7/11/2023,17.45,17.45,17.55,17.3,15.90M,0,0%
7/10/2023,17.45,17.2,17.5,17.1,18.05M,1,45%
7/7/2023,17.2,16.35,17.2,16.25,22.97M,4,88%
7/6/2023,16.4,16.55,16.75,16.2,10.55M,-1,80%
7/5/2023,16.7,16.7,16.9,16.5,18.84M,0,60%
7/4/2023,16.6,16.4,16.6,16.3,9.86M,1,22%
7/3/2023,16.4,16.55,16.6,16.4,5.94M,0,30%
6/30/2023,16.45,16.4,16.55,16.3,7.42M,0,30%
6/29/2023,16.4,16.9,16.95,16.4,12.39M,-2,38%
6/28/2023,16.8,16.9,17.1,16.7,13.76M,0,59%
6/27/2023,16.9,17,17.05,16.6,14.97M,0,29%
6/26/2023,16.95,17.1,17.2,16.5,12.39M,-2,31%
6/23/2023,17.35,17.45,17.65,17.25,18.81M,0,29%
6/22/2023,17.4,17.25,17.55,17,24.48M,1,46%
6/21/2023,17.15,16.65,17.15,16.45,20.38M,3,31%
6/20/2023,16.6,16.25,16.6,16.25,6.20M,2,15%
6/19/2023,16.25,16.5,16.55,16.25,8.02M,-1,52%
6/16/2023,16.5,16.7,17,16.5,22.53M,0,30%
6/15/2023,16.55,16.75,16.85,16.35,19.52M,-1,49%
6/14/2023,16.8,17.25,17.25,16.8,14.69M,-2,33%
6/13/2023,17.2,16.6,17.3,16.4,28.86M,4,24%
6/12/2023,16.5,16.55,16.65,16.1,16.53M,0,30%
6/9/2023,16.55,16.3,16.6,16.25,14.87M,1,22%
6/8/2023,16.35,16.75,16.9,16.35,22.25M,-2,39%
6/7/2023,16.75,16.4,16.9,16.4,28.56M,4,4%
6/6/2023,16.1,15.9,16.2,15.7,18.95M,1,58%
6/5/2023,15.85,15.7,16,15.6,24.92M,2,26%
6/2/2023,15.5,15.25,15.7,15.25,15.49M,1,97%
6/1/2023,15.2,15.3,15.35,14.95,15.03M,-1,30%
5/31/2023,15.4,15.8,15.85,15.2,36.23M,-2,84%
5/30/2023,15.85,15.8,16,15.6,13.35M,0,96%
5/29/2023,15.7,15.5,15.7,15.35,9.60M,2,28%
5/26/2023,15.35,15.6,15.6,15.2,14.89M,0,97%
5/25/2023,15.5,15.5,15.75,15.4,13.64M,0,64%
5/24/2023,15.6,16,16.1,15.6,16.14M,-2,19%
5/23/2023,15.95,16.15,16.3,15.85,14.91M,-1,24%
5/22/2023,16.15,15.6,16.3,15.6,20.02M,3,86%
5/19/2023,15.55,15.5,15.75,15.4,6.17M,0,65%
5/18/2023,15.45,15.6,15.7,15.45,8.70M,0,32%
5/17/2023,15.5,15.75,15.85,15.5,12.03M,-1,90%
5/16/2023,15.8,16,16.1,15.7,8.32M,0,63%
5/15/2023,15.9,16.5,16.5,15.9,18.12M,-2,45%
5/12/2023,16.3,16.1,16.6,16.05,15.28M,1,24%
5/11/2023,16.1,15.95,16.4,15.9,16.68M,0,94%
5/10/2023,15.95,16,16.1,15.8,9.28M,0,0%
5/9/2023,15.95,15.7,16.25,15.65,18.28M,2,24%
5/8/2023,15.6,15.7,15.75,15.45,8.16M,0,32%
5/5/2023,15.55,15.4,15.8,15.3,11.24M,0,32%
5/4/2023,15.5,15.5,15.8,15.35,9.12M,0,0%
4/28/2023,15.5,15.5,15.6,15.25,8.18M,1,31%
4/27/2023,15.3,15.75,15.8,15.25,10.65M,-2,55%
4/26/2023,15.7,14.95,15.7,14.8,13.61M,5,2%
4/25/2023,14.95,14.7,15.2,14.7,6.78M,2,40%
4/24/2023,14.6,14.9,15.05,14.4,8.29M,-2,34%
4/21/2023,14.95,15.4,15.4,14.75,8.65M,-2,29%
4/20/2023,15.3,15.3,15.5,15.25,3.33M,0,0%
4/19/2023,15.3,15.75,15.8,15.3,5.74M,-2,55%
4/18/2023,15.7,15.7,15.8,15.6,6.04M,0,64%
4/17/2023,15.6,15.35,15.75,15.35,5.01M,1,63%
4/14/2023,15.35,15.3,15.65,15.2,10.68M,1,66%
4/13/2023,15.1,15.6,15.7,15,12.67M,-2,89%
4/12/2023,15.55,15.8,15.95,15.55,8.42M,-1,58%
4/11/2023,15.8,15.5,15.9,15.45,9.98M,1,28%
4/10/2023,15.6,16.2,16.35,15.6,22.75M,-3,70%
4/7/2023,16.2,16.4,16.55,15.95,14.89M,-1,22%
4/6/2023,16.4,16.8,17.1,16.4,21.57M,-1,80%
4/5/2023,16.7,16.4,16.75,16.3,15.56M,1,52%
4/4/2023,16.45,16.3,16.5,16.2,14.29M,1,54%
4/3/2023,16.2,16.35,16.4,16.05,12.70M,0,62%
3/31/2023,16.1,16.25,16.4,15.6,25.69M,0,92%
3/30/2023,16.25,16.8,16.9,16.2,18.94M,-1,81%
3/29/2023,16.55,16.25,16.85,16.2,21.32M,1,85%
3/28/2023,16.25,16.5,16.6,16.25,10.53M,0,61%
3/27/2023,16.35,16,16.5,15.8,18.24M,2,83%
3/24/2023,15.9,16.1,16.2,15.9,9.37M,0,63%
3/23/2023,16,15.6,16.15,15.6,8.35M,0,95%
3/22/2023,15.85,16.3,16.3,15.85,8.71M,-1,55%
3/21/2023,16.1,15.9,16.2,15.6,8.97M,2,55%
3/20/2023,15.7,16.1,16.35,15.7,13.76M,-3,9%
3/17/2023,16.2,16.35,16.45,16.05,15.71M,0,62%
3/16/2023,16.1,16.3,16.5,16,15.62M,-2,72%
3/15/2023,16.55,16,16.55,15.85,18.76M,6,43%
3/14/2023,15.55,16.2,16.2,15.35,25.16M,-4,1%
3/13/2023,16.2,16.15,16.6,15.9,19.94M,-1,22%
3/10/2023,16.4,16,16.45,15.8,25.60M,0,92%
3/9/2023,16.25,16.3,16.7,16.25,27.86M,0,0%
3/8/2023,16.25,15.95,16.25,15.9,18.07M,0,93%
3/7/2023,16.1,15.5,16.3,15.5,24.69M,4,89%
3/6/2023,15.35,15.8,15.95,15.1,11.26M,0,33%
3/3/2023,15.3,15.7,16.15,15.3,25.03M,-1,29%
3/2/2023,15.5,15.6,15.85,15.35,12.09M,0,32%
3/1/2023,15.55,14.55,15.55,14.35,17.92M,6,87%
2/28/2023,14.55,14.8,14.9,14.3,9.11M,1,4%
2/27/2023,14.4,14.8,15,14.4,20.53M,-5,26%
2/24/2023,15.2,15.8,15.95,15,13.66M,-3,80%
2/23/2023,15.8,15.15,15.8,14.5,23.89M,5,33%
2/22/2023,15,15.5,16.4,15,36.71M,-5,6%
2/21/2023,15.8,16.5,16.5,15.8,21.77M,-2,47%
2/20/2023,16.2,15.55,16.2,15.55,21.42M,4,52%
2/17/2023,15.5,15.85,15.95,15.35,16.61M,-2,21%
2/16/2023,15.85,15.3,15.9,15,31.95M,4,97%
2/15/2023,15.1,14.85,15.35,14.7,18.78M,1,68%
2/14/2023,14.85,14.4,15.1,14.35,15.71M,3,13%
2/13/2023,14.4,14.15,14.4,13.6,11.94M,0,0%
2/10/2023,14.4,14.2,14.6,13.9,12.67M,1,5%
2/9/2023,14.25,14.45,14.8,14.15,9.94M,-1,38%
2/8/2023,14.45,13.6,14.45,13.05,14.94M,6,64%
2/7/2023,13.55,14.55,14.75,13.55,26.70M,-6,87%
2/6/2023,14.55,14.5,14.7,14.1,10.27M,-1,2%
2/3/2023,14.7,14.55,15,14.4,10.21M,1,38%
2/2/2023,14.5,14.85,15,14.45,15.22M,-1,2%
2/1/2023,14.65,15.7,16.2,14.45,31.44M,-5,48%
1/31/2023,15.5,15,15.5,14.85,15.75M,3,68%
1/30/2023,14.95,14.9,15.7,14.75,17.27M,0,0%
1/27/2023,14.95,14.65,15.1,14.3,13.80M,2,75%
1/19/2023,14.55,14.5,15,14.45,16.17M,0,0%
1/18/2023,14.55,15,15.1,14.55,14.97M,0,68%
1/17/2023,14.65,13.9,14.65,13.85,20.55M,6,93%
1/16/2023,13.7,13.25,13.9,12.95,17.17M,4,58%
1/13/2023,13.1,13.5,13.55,13.1,8.03M,0,76%
1/12/2023,13.2,13.3,13.3,12.95,8.99M,0,76%
1/11/2023,13.1,13.1,13.65,12.95,14.78M,1,95%
1/10/2023,12.85,12.5,13.2,12.05,13.31M,2,80%
1/9/2023,12.5,12.85,13.05,12.5,8.30M,-1,19%
1/6/2023,12.65,13.2,13.4,12.55,12.63M,-4,17%
1/5/2023,13.2,12.7,13.2,12.35,14.84M,4,35%
1/4/2023,12.65,12.8,12.9,12.5,10.83M,2,43%
1/3/2023,12.35,11.65,12.35,11.65,8.73M,6,93%
12/30/2022,11.55,11.7,11.95,11.5,5.66M,0,0%
12/29/2022,11.55,11.8,12.1,11.45,7.47M,-2,94%
12/28/2022,11.9,12,12.2,11.8,8.25M,1,28%
12/27/2022,11.75,10.9,11.75,10.8,11.90M,6,82%
12/26/2022,11,11.8,11.8,11,14.47M,-6,78%
12/23/2022,11.8,12.45,12.45,11.8,14.45M,-5,98%
12/22/2022,12.55,13.3,13.5,12.4,13.77M,-4,56%
12/21/2022,13.15,13.95,14.15,12.75,20.19M,-4,1%
12/20/2022,13.7,13.65,14.1,12.8,30.95M,0,0%
12/19/2022,13.7,13.85,14.4,13.6,26.07M,1,48%
12/16/2022,13.5,12.5,13.5,12.4,33.05M,6,72%
12/15/2022,12.65,12.6,13,12.5,9.71M,0,0%
12/14/2022,12.65,12.95,13.2,12.6,14.47M,0,39%
12/13/2022,12.7,12.05,12.7,11.55,12.88M,5,39%
12/12/2022,12.05,13,13.35,12.05,17.11M,-6,95%
12/9/2022,12.95,12.45,13.15,12.2,14.20M,4,44%
12/8/2022,12.4,11.95,12.4,11.9,13.77M,6,90%
12/7/2022,11.6,11.85,12.35,11.4,18.35M,-5,31%
12/6/2022,12.25,13.1,13.2,12.25,24.49M,-6,84%
12/5/2022,13.15,12.85,13.15,12.6,16.71M,6,91%
12/2/2022,12.3,11.25,12.3,11.15,15.27M,6,96%
12/1/2022,11.5,11.5,12,11.3,21.81M,2,22%
11/30/2022,11.25,10.9,11.4,10.6,13.65M,3,21%
11/29/2022,10.9,10.9,11.2,10.15,19.48M,3,32%
11/28/2022,10.55,10.3,10.55,10.2,12.40M,7,0%
11/25/2022,9.86,9.7,9.86,9.4,12.85M,6,94%
11/24/2022,9.22,8.49,9.22,8.45,13.81M,6,96%
11/23/2022,8.62,9.19,9.5,8.57,10.94M,-6,30%
11/22/2022,9.2,9.5,10.15,9.18,15.28M,-4,27%
11/21/2022,9.61,9.2,9.61,9.1,11.42M,6,90%
11/18/2022,8.99,8.8,8.99,8.57,21.80M,6,90%
11/17/2022,8.41,8.41,8.41,8.35,5.69M,7,0%
11/16/2022,7.86,7.07,7.86,6.85,10.74M,6,94%
11/15/2022,7.35,7.31,7.95,7.21,13.10M,-3,92%
11/14/2022,7.65,7.7,8.05,7.54,11.91M,-5,56%
11/11/2022,8.1,8.8,8.99,8.1,12.38M,-6,90%
11/10/2022,8.7,8.82,9.2,8.7,16.21M,-6,95%
11/9/2022,9.35,9.63,10.1,9.1,8.12M,-2,91%
11/8/2022,9.63,9.75,10.05,9.63,14.94M,-6,96%
11/7/2022,10.35,10.9,11.2,10.35,12.16M,-6,76%
11/4/2022,11.1,11.75,11.85,11.1,18.13M,-6,72%
11/3/2022,11.9,12.15,12.45,11.9,10.05M,-4,3%
11/2/2022,12.4,11.75,12.4,11.7,13.72M,6,44%
11/1/2022,11.65,11.95,12.15,11.45,10.71M,2,19%
10/31/2022,11.4,11.4,11.9,11.4,21.41M,-6,94%
10/28/2022,12.25,13.3,13.4,12.25,16.23M,-6,84%
10/27/2022,13.15,12.35,13.15,12.35,10.61M,6,91%
10/26/2022,12.3,12.55,12.8,12.2,5.79M,-1,20%
10/25/2022,12.45,11.7,12.45,11.6,16.61M,6,87%
10/24/2022,11.65,12.3,12.4,11.65,14.56M,-6,80%
10/21/2022,12.5,13.5,13.5,12.5,16.12M,-6,72%
10/20/2022,13.4,13.3,13.7,13.2,6.15M,0,75%
10/19/2022,13.3,13.8,13.9,13.3,9.50M,-4,32%
10/18/2022,13.9,14.25,14.4,13.8,9.43M,-1,7%
10/17/2022,14.05,13.8,14.1,13.5,9.80M,0,71%
10/14/2022,14.15,14.1,14.2,13.75,13.33M,2,17%
10/13/2022,13.85,13.6,14,13.4,8.67M,1,84%
10/12/2022,13.6,13.1,13.6,13.05,12.18M,6,67%
10/11/2022,12.75,12.85,13.3,12.5,15.23M,1,19%
10/10/2022,12.6,11.5,12.6,11.5,9.55M,6,78%
10/7/2022,11.8,12.1,12.4,11.8,10.42M,-6,72%
10/6/2022,12.65,13.55,13.65,12.65,8.35M,-6,64%
10/5/2022,13.55,13.45,13.7,13.2,4.89M,3,83%
10/4/2022,13.05,14,14.1,13.05,6.78M,-5,43%
10/3/2022,13.8,14.8,14.85,13.8,8.85M,-6,76%
9/30/2022,14.8,14.75,14.9,13.9,7.24M,0,0%
9/29/2022,14.8,15.4,15.5,14.8,4.76M,-1,33%
9/28/2022,15,15.05,15.45,14.85,7.44M,0,66%
9/27/2022,15.1,15.4,15.5,15.1,4.30M,0,66%
9/26/2022,15.2,15.6,15.9,15.1,8.17M,-6,17%
9/23/2022,16.2,16.3,16.55,16,6.40M,0,92%
9/22/2022,16.35,15.9,16.6,15.7,7.52M,1,55%
9/21/2022,16.1,15.9,16.35,15.9,5.26M,0,62%
9/20/2022,16.2,16.3,16.35,15.4,7.26M,1,25%
9/19/2022,16,17.3,17.35,16,16.70M,-6,98%
9/16/2022,17.2,17.85,18.05,17.2,13.89M,-4,97%
9/15/2022,18.1,18.25,18.65,18.1,7.31M,0,0%
9/14/2022,18.1,17.85,18.25,17.8,14.52M,3,43%
9/13/2022,17.5,17.917,18,17.083,18.08M,-2,33%
9/12/2022,17.92,18.167,18.5,17.917,13.74M,0,0%
9/9/2022,17.92,17.375,17.917,16.792,15.64M,3,37%
9/8/2022,17.33,18.167,18.208,17.333,12.83M,-3,26%
9/7/2022,17.92,18.583,18.708,17.917,26.71M,-2,71%
9/6/2022,18.42,18.75,18.917,18.292,17.08M,0,67%
9/5/2022,18.54,17.5,18.542,17.5,30.62M,6,97%
8/31/2022,17.33,17.125,17.667,17.083,10.65M,1,46%
8/30/2022,17.08,17.5,17.625,17.083,8.14M,0,97%
8/29/2022,17.25,17.333,17.5,16.75,16.07M,-3,4%
8/26/2022,17.79,18.25,18.25,17.708,12.71M,-2,51%
8/25/2022,18.25,18,18.458,17.792,16.53M,2,58%
8/24/2022,17.79,17.917,18.167,17.75,11.03M,0,70%
8/23/2022,17.92,17.333,17.917,17.333,12.11M,3,37%
8/22/2022,17.33,17,17.583,16.833,10.93M,1,96%
8/19/2022,17,17.583,17.792,16.875,17.71M,-3,32%
8/18/2022,17.58,17.417,17.833,17.417,8.15M,0,24%
8/17/2022,17.63,18.083,18.208,17.458,17.25M,-2,76%
8/16/2022,18.13,17.958,18.833,17.917,19.38M,0,93%
8/15/2022,17.96,18.25,18.417,17.917,13.48M,0,69%
8/12/2022,18.08,16.917,18.083,16.792,29.11M,6,90%
8/11/2022,16.92,17.667,17.75,16.583,13.46M,-2,87%
8/10/2022,17.42,17.042,17.417,16.708,15.97M,1,70%
8/9/2022,17.13,17.292,17.667,17,12.11M,0,96%
8/8/2022,17.29,17.167,17.458,16.917,13.19M,1,22%
8/5/2022,17.08,16.583,17.25,16.5,13.22M,3,2%
8/4/2022,16.58,16.75,17,16.333,15.09M,1,79%
8/3/2022,16.29,15.083,16.292,15.042,18.26M,6,83%
8/2/2022,15.25,15.167,15.625,15.083,11.58M,1,11%
8/1/2022,15.08,14.125,15.083,14.083,14.20M,6,78%
7/29/2022,14.13,14.292,14.5,14.083,4.75M,0,29%
7/28/2022,14.17,14.042,14.25,13.917,4.44M,3,3%
7/27/2022,13.75,13.458,13.75,13.417,6.26M,0,60%
7/26/2022,13.83,14.625,14.75,13.833,11.66M,-5,68%
7/25/2022,14.67,15,15.042,14.583,5.91M,-2,76%
7/22/2022,15.08,15.25,15.417,15.083,4.13M,-1,9%
7/21/2022,15.25,15.083,15.625,15.083,10.77M,1,67%
7/20/2022,15,14.833,15.333,14.625,11.52M,3,15%
7/19/2022,14.54,14.708,14.75,14.417,4.75M,-1,69%
7/18/2022,14.79,15.292,15.333,14.75,8.21M,-2,47%
7/15/2022,15.17,15.25,15.792,15.167,11.29M,1,11%
7/14/2022,15,14.917,15.125,14.333,8.27M,0,56%
7/13/2022,14.92,15.333,15.583,14.833,7.04M,-1,10%
7/12/2022,15.08,14.833,15.542,14.625,9.12M,1,69%
7/11/2022,14.83,15.083,15.458,14.417,8.70M,-2,20%
7/8/2022,15.17,14.667,15.292,14.583,8.23M,5,20%
7/7/2022,14.42,14.458,14.625,14.083,5.61M,0,87%
7/6/2022,14.29,14.083,15.167,13.917,11.41M,0,29%
7/5/2022,14.33,14,14.875,14,10.62M,1,78%
7/4/2022,14.08,14.208,14.458,14,5.43M,0,0%
7/1/2022,14.08,13.417,14.208,12.833,7.54M,4,97%
6/30/2022,13.42,14.667,14.833,13.417,8.83M,-6,67%
6/29/2022,14.38,13.708,14.708,13.625,7.63M,2,99%
6/28/2022,13.96,14.167,14.417,13.875,5.50M,-1,47%
6/27/2022,14.17,13.417,14.167,13.042,9.92M,6,92%
6/24/2022,13.25,12.75,13.5,12.625,12.35M,4,95%
6/23/2022,12.63,12.667,12.708,12.25,5.08M,0,33%
6/22/2022,12.58,12.167,12.583,11.958,8.01M,6,71%
6/21/2022,11.79,11.5,12.625,11.5,16.55M,-4,7%
